id,headline,description
[1],Emelec vuelve a ganar dos partidos consecutivos luego de diez meses,"Pese a que aún está lejos la posibilidad de soñar con optar por el hexagonal del título, se puede ver un club renovado y con mejores ideas."
[2],"‘José Pileggi está en la historia como el peor presidente de Emelec’, aseguró Marcos Mondaini, exjugador azul",El argentino-ecuatoriano era director deportivo cuando Pileggi era presidente de formativas (2021-2022).
[3],Pep Guardiola no volverá nunca más al FC Barcelona: ‘Se acabó para siempre’,El español también se refirió a la comparación entre Lamine Yamal y Lionel Messi.
[4],"‘En el fútbol siempre hay rumores, pero mi cabeza está 100 % aquí’, dice Piero Hincapié ante rumores de una posible salida del Bayer Leverkusen","Existieron muchos rumores sobre el ecuatoriano y fueron varios equipos a los que se lo vinculó, antes del arranque de la pretemporada."
[5],Sao Paulo vence a Fluminense con gol de Robert Arboleda,El zaguero ecuatoriano marcó a los 24 minutos de juego y abrió la cuenta para el cuadro paulista.
[6],Emelec vuelve a ganar dos partidos consecutivos luego de diez meses,"Pese a que aún está lejos la posibilidad de soñar con optar por el hexagonal del título, se puede ver un club renovado y con mejores ideas."
[7],Paraguay se queda con el quinto lugar de la Copa América Femenina tras ajustada victoria sobre Chile,Camila Arrieta se convirtió en la heroína de las guaraníes al marcar el único tanto del encuentro a los 90+2 minutos.
[8],Jeremy Sarmiento tendría los días contados en el Brighton; estos son los tres impactos deportivos del día,Joel Ordóñez fue protagonista el fin de semana en la liga de Bélgica.
[9],"Fidel Martínez ya entrenó con Sport Boys de Perú, su nuevo equipo, tras no llegar a un acuerdo con Emelec","Según reportes de la prensa peruana que cubre a Sport Boys, el ecuatoriano tiene grandes posibilidades de jugar ante Ayacucho."
[10],"‘No van a echar de menos a Theo Hernández’, destaca excompañero de Pervis Estupiñán, nuevo fichaje del AC Milan","Desde el cuadro 'rossonero' se espera que el ecuatoriano se convierta en ese revulsivo por la banda izquierda, aportando tanto en ataque como en defensa."
[11],Pep Guardiola no volverá nunca más al FC Barcelona: ‘Se acabó para siempre’,El español también se refirió a la comparación entre Lamine Yamal y Lionel Messi.
[12],"‘José Pileggi está en la historia como el peor presidente de Emelec’, aseguró Marcos Mondaini, exjugador azul",El argentino-ecuatoriano era director deportivo cuando Pileggi era presidente de formativas (2021-2022).
[13],"Marcus Morris, jugador de la NBA, fue arrestado en Florida acusado de fraude","Los detalles de su arresto no se conocieron de inmediato, pero los registros muestran que fue detenido en un aeropuerto del condado."
[14],Sao Paulo vence a Fluminense con gol de Robert Arboleda,El zaguero ecuatoriano marcó a los 24 minutos de juego y abrió la cuenta para el cuadro paulista.
[15],"‘En el fútbol siempre hay rumores, pero mi cabeza está 100 % aquí’, dice Piero Hincapié ante rumores de una posible salida del Bayer Leverkusen","Existieron muchos rumores sobre el ecuatoriano y fueron varios equipos a los que se lo vinculó, antes del arranque de la pretemporada."
[16],El partido entre Miguel Iturralde y Emelec por la Copa Ecuador será transmitido en señal abierta,El cuadro eléctrico visitará a equipo 'amateur' en el Estadio Olímpico Atahualpa este miércoles 30 de julio desde las 18:30.
[17],"‘El próximo año ganamos el Mundial si Dios lo permite’, expresa Moisés Caicedo, volante de la selección de Ecuador",El mediocampista estrella de la Premier League inglesa se ha ganado el aprecio y respeto de los fanáticos tanto dentro como fuera de la cancha.
[18],"Murió Alejandra “Locomotora” Oliveras, excampeona mundial e influencer argentina",Desde el 14 de julio a deportista permanecía internada en la unidad de terapia intensiva.
[19],La Copa América Femenina Ecuador 2025 implementará el VAR en la fase final,"La Conmebol ha anunciado que el VAR será utilizado exclusivamente en las semifinales, el partido por el tercer puesto y la final del campeonato. "
[20],Ismael Rescalvo arranca ciclo en Barcelona SC con 40 % de efectividad: el más bajo que sus tres antecesores,"La única victoria que ha conseguido el cuadro amarillo bajo el mando del ibérico fue ante Delfín SC, como visitante, por 0-1, con un rendimiento cuestionable."
[21],La gloria no tiene vencimiento,N/A
[22],"Tributo a la memoria de Carlos Coello Martínez, dirigente ejemplar",N/A
[23],Las placas tectónicas del fútbol,N/A
[24],Jannick Sinner: la fuerza de Aquiles; Carlos Alcaraz: la astucia de Ulises,N/A
[25],"Ansiaban un fracaso, fue un éxito",N/A
[26],Ismael Rescalvo arranca ciclo en Barcelona SC con 40 % de efectividad: el más bajo que sus tres antecesores,N/A
[27],La gloria no tiene vencimiento,N/A
[28],Así marcha la tabla de posiciones de la Liga Ecuabet luego del empate entre El Nacional y Libertad FC por la fecha 22,N/A
[29],Felipe Caicedo y Esteban Dreer fueron reconocidos por su legado deportivo en los 490 años de Guayaquil,N/A
[30],Felipe Caicedo ofrece disculpas a los hinchas de Barcelona SC tras la derrota ante Liga de Quito,N/A
[31],Emelec vuelve a ganar dos partidos consecutivos luego de diez meses,N/A
[32],"‘José Pileggi está en la historia como el peor presidente de Emelec’, aseguró Marcos Mondaini, exjugador azul",N/A
[33],El partido entre Miguel Iturralde y Emelec por la Copa Ecuador será transmitido en señal abierta,N/A
[34],"‘Necesitábamos darle una alegría a la gente’, apunta Alfonso Barco, mediocampista de Emelec",N/A
[35],Emelec busca meterse entre los seis mejores de la Liga Ecuabet: esto es lo que necesita para disputar el hexagonal final,N/A
[36],Así marcha la tabla de posiciones de la Liga Ecuabet luego del empate entre El Nacional y Libertad FC por la fecha 22,N/A
[37],Felipe Caicedo ofrece disculpas a los hinchas de Barcelona SC tras la derrota ante Liga de Quito,N/A
[38],"‘Estoy bien, yo vengo a dar lo mejor de mí’: Jousé Cuero, jugador de Liga de Quito, tras vencer a Barcelona SC por la fecha 22 de la Liga Ecuabet",N/A
[39],"Marcos Mondaini y la caída torera ante Liga de Quito: ‘Este Barcelona SC es peor que el de Segundo Castillo, fue un equipo sin ideas, una maraña de nervios’",N/A
[40],Fernando Cornejo y el gol que le dio el triunfo a Liga de Quito sobre Barcelona SC: ‘Es uno de los mejores y de los más importantes’,N/A
